method,seed,class,bin,prob_true,prob_pred
all,3407,Brute Force,3,0.16666666666666666,0.35846271770969446
all,3407,Brute Force,4,0.5,0.44526099330246605
all,3407,Brute Force,5,0.3333333333333333,0.5659360581280611
all,3407,Brute Force,6,0.0,0.678814687674904
all,3407,Brute Force,7,1.0,0.7407064808401475
all,3407,Brute Force,8,1.0,0.8724269967972863
all,3407,Brute Force,9,1.0,0.9986431779909178
all,3407,DoS/DDoS,0,0.0,0.00405906364612776
all,3407,DoS/DDoS,1,0.4,0.1436931726199693
all,3407,DoS/DDoS,2,0.0,0.2344219251819073
all,3407,DoS/DDoS,3,0.0,0.3379341670385919
all,3407,DoS/DDoS,4,0.0,0.4707195736914086
all,3407,DoS/DDoS,5,0.6666666666666666,0.5454800623148991
all,3407,DoS/DDoS,6,1.0,0.6711668159615904
all,3407,DoS/DDoS,7,1.0,0.8782020053603825
all,3407,DoS/DDoS,8,1.0,0.9927161667161852
all,3407,Normal,0,0.0,0.008498217056000772
all,3407,Normal,1,0.0,0.1293940954644649
all,3407,Normal,2,0.18181818181818182,0.2544751253637511
all,3407,Normal,3,0.25,0.3439832881504328
all,3407,Normal,4,0.25,0.4720007092370565
all,3407,Normal,5,0.8,0.5583882182828221
all,3407,Normal,6,0.8333333333333334,0.6791210031296212
all,3407,Normal,7,1.0,0.7427383947938893
all,3407,Normal,8,1.0,0.854807032631744
all,3407,Normal,9,1.0,0.9844695444934806
all,3407,Web Attack,0,0.0,0.003980181629106238
all,3407,Web Attack,1,0.0,0.14102576174492135
all,3407,Web Attack,2,0.0,0.277204780148698
all,3407,Web Attack,3,0.8333333333333334,0.3406292556941181
all,3407,Web Attack,4,0.6,0.42524265904300595
all,3407,Web Attack,5,0.6,0.5784589346497724
all,3407,Web Attack,6,0.8,0.6423475269575677
all,3407,Web Attack,7,1.0,0.7553104491485643
all,3407,Web Attack,8,0.8260869565217391,0.8577486195332951
all,3407,Web Attack,9,0.953125,0.9485182694707492
chi2,3407,Bot,0,0.0,0.0017169119657545401
chi2,3407,Bot,1,0.0,0.18399846227901384
chi2,3407,Bot,2,0.0,0.2579342692755662
chi2,3407,Bot,3,0.0,0.3692274454196477
